Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-15 00:00:00,0.047,-0.006,0.079,0.045,4.45,0.76,99.2,998.3,30.0,11.30,71.2
2019-05-15 04:00:00,0.043,-0.001,0.070,0.037,4.72,0.77,103.6,994.8,30.1,11.56,75.4
2019-05-15 08:00:00,0.049,0.012,0.070,0.031,6.68,0.67,224.5,993.5,30.1,16.36,67.4
2019-05-15 12:00:00,0.050,0.015,0.071,0.030,7.16,1.35,228.7,990.7,30.1,24.64,53.1
2019-05-15 16:00:00,0.050,0.011,0.074,0.033,7.81,0.60,202.8,988.3,30.1,21.73,61.3
2019-05-15 20:00:00,0.029,-0.001,0.047,0.025,5.11,0.47,14.7,988.9,30.1,15.18,72.8
2019-05-16 00:00:00,0.020,-0.009,0.038,0.025,3.25,0.29,339.4,991.5,30.0,9.25,69.4
2019-05-16 04:00:00,0.014,-0.013,0.030,0.022,1.96,0.81,246.4,993.6,30.0,7.27,70.8
2019-05-16 08:00:00,0.018,-0.029,0.046,0.039,0.56,1.71,112.9,996.2,30.1,11.68,42.8
2019-05-16 12:00:00,0.022,-0.034,0.055,0.047,1.01,2.75,67.5,997.6,30.1,12.49,31.4
2019-05-16 16:00:00,0.024,-0.033,0.058,0.048,1.22,1.81,89.2,999.3,30.0,8.52,36.1
2019-05-16 20:00:00,0.024,-0.030,0.056,0.045,-0.15,1.12,203.3,1001.9,30.0,4.69,44.8
2019-05-17 00:00:00,0.020,-0.029,0.048,0.041,-0.06,0.80,225.6,1002.4,30.0,2.27,50.8
2019-05-17 04:00:00,0.021,-0.026,0.049,0.040,-0.01,0.39,44.4,1003.0,30.0,0.89,56.0
2019-05-17 08:00:00,0.016,-0.038,0.047,0.045,0.01,1.83,79.9,1004.8,30.0,4.93,39.5
2019-05-17 12:00:00,0.016,-0.043,0.050,0.049,-0.33,2.08,57.6,1003.8,30.1,10.30,25.7
2019-05-17 16:00:00,0.020,-0.040,0.055,0.051,-0.20,1.30,83.1,1003.3,30.0,7.33,29.4
2019-05-17 20:00:00,0.020,-0.036,0.052,0.047,1.45,0.72,38.6,1006.1,30.0,1.72,40.3
2019-05-18 00:00:00,0.017,-0.024,0.041,0.035,2.31,0.50,280.5,1006.3,30.0,-1.50,56.7
2019-05-18 04:00:00,0.014,-0.018,0.033,0.027,3.00,0.45,336.6,1007.3,30.0,-3.50,66.5
2019-05-18 08:00:00,0.016,-0.028,0.041,0.037,2.79,0.59,80.4,1008.3,30.0,5.53,42.9
2019-05-18 12:00:00,0.015,-0.043,0.049,0.049,1.89,1.62,58.9,1007.5,30.1,11.47,26.6
2019-05-18 16:00:00,0.022,-0.035,0.055,0.048,1.72,1.13,211.0,1007.6,30.0,9.04,29.6
2019-05-18 20:00:00,0.018,-0.021,0.041,0.033,3.18,0.42,308.5,1009.7,30.0,2.04,51.0
2019-05-19 00:00:00,0.017,-0.011,0.034,0.023,4.85,0.30,353.9,1010.6,30.0,-0.95,65.2
2019-05-19 04:00:00,0.014,-0.006,0.026,0.017,8.67,0.25,321.5,1011.7,30.0,-2.61,73.0
2019-05-19 08:00:00,0.016,-0.023,0.039,0.033,4.66,0.77,104.8,1013.1,30.0,7.39,46.2
2019-05-19 12:00:00,0.017,-0.041,0.052,0.049,2.85,0.90,92.4,1012.0,30.1,11.91,30.2
2019-05-19 16:00:00,0.022,-0.036,0.056,0.049,2.21,1.14,74.8,1011.4,30.0,9.78,31.2
2019-05-19 20:00:00,0.019,-0.019,0.041,0.031,3.96,0.44,323.7,1012.8,30.0,2.30,54.2
2019-05-20 00:00:00,0.018,-0.014,0.036,0.026,5.21,0.42,40.5,1012.9,30.0,0.93,62.7
2019-05-20 04:00:00,0.015,-0.010,0.029,0.021,5.98,0.16,355.5,1012.3,30.0,-0.32,68.2
2019-05-20 08:00:00,0.021,-0.014,0.042,0.030,8.52,0.64,192.0,1012.3,30.0,9.84,45.3
2019-05-20 12:00:00,0.022,-0.033,0.055,0.047,7.78,1.75,229.2,1009.7,30.1,18.53,24.3
2019-05-20 16:00:00,0.030,-0.028,0.065,0.049,7.35,0.56,277.6,1008.1,30.1,14.01,30.2
2019-05-20 20:00:00,0.038,-0.019,0.071,0.047,3.63,0.54,92.7,1008.9,30.0,7.77,49.9
2019-05-21 00:00:00,0.027,-0.009,0.048,0.030,5.40,0.23,133.5,1007.7,30.0,5.82,66.0
2019-05-21 04:00:00,0.026,-0.003,0.044,0.025,5.66,0.53,62.6,1005.7,30.0,5.94,69.5
2019-05-21 08:00:00,0.040,-0.003,0.065,0.036,4.96,0.71,163.7,1004.6,30.0,8.73,70.3
2019-05-21 12:00:00,0.040,-0.012,0.070,0.043,1.88,1.13,113.5,1001.3,30.0,10.59,68.3
2019-05-21 16:00:00,0.035,-0.019,0.066,0.045,1.40,0.51,116.3,996.9,30.0,10.74,61.3
2019-05-21 20:00:00,0.037,-0.017,0.069,0.046,2.20,0.42,66.0,992.4,30.0,9.89,63.5
2019-05-22 00:00:00,0.043,-0.009,0.073,0.043,1.74,1.34,33.0,985.1,30.0,8.38,75.0
2019-05-22 04:00:00,0.037,-0.014,0.067,0.043,0.66,1.80,32.1,978.9,30.0,7.88,76.9
2019-05-22 08:00:00,0.032,-0.015,0.059,0.039,0.95,1.94,52.8,977.4,30.0,6.43,78.4
2019-05-22 12:00:00,0.038,-0.012,0.067,0.042,0.22,1.62,87.8,975.9,30.0,8.57,70.9
2019-05-22 16:00:00,0.037,-0.017,0.069,0.045,0.80,1.83,103.5,977.1,30.0,7.59,72.7
2019-05-22 20:00:00,0.031,-0.018,0.060,0.041,0.10,0.97,155.3,979.5,30.0,6.16,75.8
